2024-01-22 13:08:42,661 [main ] INFO  Constant - Copying default configuration to C:\Users\User\ZAP\config.xml
2024-01-22 13:08:46,234 [main ] INFO  Constant - Creating directory C:\Users\User\ZAP\session
2024-01-22 13:08:46,236 [main ] INFO  Constant - Creating directory C:\Users\User\ZAP\dirbuster
2024-01-22 13:08:46,236 [main ] INFO  Constant - Creating directory C:\Users\User\ZAP\fuzzers
2024-01-22 13:08:46,237 [main ] INFO  Constant - Creating directory C:\Users\User\ZAP\plugin
2024-01-22 13:08:48,059 [main ] INFO  GuiBootstrap - ZAP 2.14.0 started 22/01/2024, 13:08:48 with home C:\Users\User\ZAP\
2024-01-22 13:08:53,101 [AWT-EventQueue-0] INFO  View - Initialising View
2024-01-22 13:09:19,683 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Installed add-ons: [[id=alertFilters, version=18.0.0], [id=ascanrules, version=58.0.0], [id=authhelper, version=0.10.0], [id=automation, version=0.33.0], [id=bruteforce, version=15.0.0], [id=callhome, version=0.8.0], [id=commonlib, version=1.18.0], [id=database, version=0.3.0], [id=diff, version=14.0.0], [id=directorylistv1, version=7.0.0], [id=domxss, version=18.0.0], [id=encoder, version=1.4.0], [id=exim, version=0.7.0], [id=formhandler, version=6.5.0], [id=fuzz, version=13.12.0], [id=gettingStarted, version=16.0.0], [id=graaljs, version=0.5.0], [id=graphql, version=0.20.0], [id=help, version=17.0.0], [id=hud, version=0.18.0], [id=invoke, version=14.0.0], [id=network, version=0.12.0], [id=oast, version=0.17.0], [id=onlineMenu, version=12.0.0], [id=openapi, version=37.0.0], [id=postman, version=0.2.0], [id=pscanrules, version=52.0.0], [id=quickstart, version=43.0.0], [id=replacer, version=15.0.0], [id=reports, version=0.26.0], [id=requester, version=7.4.0], [id=retest, version=0.8.0], [id=retire, version=0.26.0], [id=reveal, version=7.0.0], [id=scripts, version=42.0.0], [id=selenium, version=15.15.0], [id=soap, version=20.0.0], [id=spider, version=0.7.0], [id=spiderAjax, version=23.17.0], [id=tips, version=12.0.0], [id=webdriverwindows, version=64.0.0], [id=websocket, version=30.0.0], [id=zest, version=42.0.0]]
2024-01-22 13:09:19,698 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Loading extensions
2024-01-22 13:09:23,097 [ZAP-BootstrapGUI] INFO  TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
2024-01-22 13:09:25,002 [ZAP-BootstrapGUI] INFO  ExtensionFactory - Extensions loaded
2024-01-22 13:09:30,739 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Auto-update Extension - Allows ZAP to check for updates
2024-01-22 13:09:30,994 [ZAP-BootstrapGUI] INFO  ExtensionLoader - Initializing Options Extension - Options Extension
